STUDBME1,STUDBME2,STUDBME3,CMP-lab1,CMP_LAB1,Sbme-Staff,CUFE,bdawy,CIVil-2022,Location
-60.0,-50.0,-100.0,-80.0,-50.0,-100.0,-100.0,-82.0,-100.0,class1
-71.0,-55.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,class1
-63.0,-43.0,-100.0,-67.0,-56.0,-100.0,-71.0,-82.0,-78.0,class1
-66.0,-100.0,-100.0,-68.0,-68.0,-100.0,-100.0,-82.0,-100.0,class1
-64.0,-41.0,-100.0,-71.0,-57.0,-100.0,-100.0,-86.0,-100.0,class1
-100.0,-57.0,-100.0,-69.0,-100.0,-100.0,-69.0,-82.0,-73.0,class1
-58.0,-46.0,-100.0,-64.0,-69.0,-100.0,-100.0,-78.0,-100.0,class1
-60.0,-44.0,-100.0,-71.0,-57.0,-100.0,-100.0,-78.0,-100.0,class1
-60.0,-50.0,-100.0,-71.0,-100.0,-100.0,-67.0,-80.0,-100.0,class1
-58.0,-55.0,-100.0,-73.0,-71.0,-100.0,-100.0,-76.0,-72.0,class1
-57.0,-34.0,-100.0,-100.0,-60.0,-100.0,-69.0,-84.0,-100.0,class1
-67.0,-39.0,-100.0,-67.0,-100.0,-100.0,-100.0,-78.0,-100.0,class1
-71.0,-40.0,-100.0,-71.0,-63.0,-100.0,-73.0,-75.0,-75.0,class1
-100.0,-51.0,-100.0,-67.0,-60.0,-100.0,-100.0,-81.0,-100.0,class1
-55.0,-46.0,-100.0,-69.0,-59.0,-100.0,-71.0,-81.0,-78.0,class1
-58.0,-37.0,-100.0,-71.0,-60.0,-100.0,-69.0,-83.0,-100.0,class1
-100.0,-36.0,-100.0,-69.0,-62.0,-100.0,-71.0,-81.0,-77.0,class1
-100.0,-38.0,-100.0,-100.0,-66.0,-100.0,-100.0,-82.0,-100.0,class1
-72.0,-45.0,-100.0,-68.0,-100.0,-100.0,-100.0,-85.0,-100.0,class1
-67.0,-37.0,-100.0,-67.0,-60.0,-100.0,-72.0,-80.0,-73.0,class1
-100.0,-53.0,-91.0,-76.0,-61.0,-100.0,-76.0,-84.0,-100.0,class1
-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-70.0,-100.0,class1
-59.0,-37.0,-100.0,-100.0,-63.0,-100.0,-100.0,-73.0,-100.0,class1
-62.0,-36.0,-100.0,-100.0,-61.0,-100.0,-100.0,-77.0,-100.0,class1
-100.0,-34.0,-100.0,-100.0,-67.0,-100.0,-74.0,-75.0,-100.0,class1
-100.0,-38.0,-100.0,-100.0,-61.0,-100.0,-73.0,-75.0,-100.0,class1
-100.0,-36.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-72.0,class1
-100.0,-37.0,-100.0,-74.0,-66.0,-100.0,-71.0,-78.0,-73.0,class1
-60.0,-38.0,-100.0,-71.0,-60.0,-100.0,-100.0,-73.0,-100.0,class1
-65.0,-35.0,-100.0,-73.0,-59.0,-100.0,-72.0,-78.0,-100.0,class1
-100.0,-35.0,-100.0,-100.0,-66.0,-100.0,-72.0,-78.0,-100.0,class1
